brand_final,size_oz_rounded,STORE,n_weeks,mean_q,mean_p,p_min,p_max,unit_price_std,mean_cost,mean_promo,mean_log_comp_price,revenue_total,unit_price_cv,baseline_q,baseline_rev,baseline_margin,baseline_profit,opt_price,opt_promo,opt_q,opt_rev,opt_profit,opt_hits_upper,opt_hits_lower,profit_lift_abs,profit_lift_pct,q_lift_ratio
General Mills,7.5,5,73,10.9452,2.7929,2.27,3.03,0.2182,2.1969,0.0548,1.1518,2186.66,0.0781,10.9452,30.5686,0.596,6.5228,3.4845,1,11.1805,38.9586,14.3958,True,False,7.873,120.6991,1.0215
General Mills,7.5,14,57,13.0351,2.8014,2.24,2.99,0.2245,2.1786,0.0702,1.1487,2040.7501,0.0801,13.0351,36.5165,0.6228,8.1181,3.4385,1,13.6069,46.7873,17.1431,True,False,9.025,111.1716,1.0439
General Mills,7.5,28,60,8.15,2.7162,2.39,2.89,0.1578,2.1999,0.0333,1.1006,1302.32,0.0581,8.15,22.1368,0.5163,4.2076,3.3235,1,8.6891,28.8781,9.763,True,False,5.5554,132.0348,1.0661
General Mills,7.5,44,79,13.4177,2.7548,2.5,2.89,0.1097,2.2095,0.0886,1.1261,2876.68,0.0398,13.4177,36.9633,0.5453,7.3173,3.3235,1,14.3168,47.5818,15.9494,True,False,8.6321,117.9684,1.067
General Mills,7.5,54,66,9.5152,2.7495,2.5,2.89,0.1155,2.1868,0.0909,1.1218,1700.79,0.042,9.5152,26.1623,0.5627,5.3546,3.3235,1,10.1093,33.5982,11.4912,True,False,6.1366,114.6041,1.0624
General Mills,7.5,68,54,6.6481,2.7356,2.67,2.89,0.0781,2.2138,0.0,1.0892,984.71,0.0286,6.6481,18.1864,0.5217,3.4685,3.3235,1,7.2783,24.1896,8.0766,True,False,4.608,132.8536,1.0948
General Mills,7.5,70,70,12.9143,2.7446,2.27,3.03,0.2292,2.188,0.0714,1.1111,2419.89,0.0835,12.9143,35.4442,0.5565,7.1871,3.4845,1,12.7097,44.2869,16.4775,True,False,9.2904,129.2647,0.9842
General Mills,7.5,74,158,12.0253,2.7203,2.5,2.89,0.0957,2.2335,0.0127,1.0962,5143.05,0.0352,12.0253,32.7127,0.4869,5.8546,3.3235,1,12.9685,43.1008,14.1361,True,False,8.2816,141.4551,1.0784
General Mills,7.5,80,54,14.537,2.7346,2.35,2.89,0.1708,2.1601,0.0556,1.0854,2087.97,0.0625,14.537,39.7534,0.5745,8.3515,3.3235,1,15.5329,51.6237,18.0706,True,False,9.719,116.374,1.0685
General Mills,7.5,88,69,7.0725,2.7339,2.39,2.89,0.1467,2.1982,0.0435,1.1027,1316.22,0.0537,7.0725,19.3355,0.5357,3.7886,3.3235,1,7.5926,25.234,8.5437,True,False,4.7551,125.5118,1.0735
