UPC,manufacturer_code,DESCRIP,descrip_clean,SIZE,size_oz,size_kind,brand_rule,block_majority_brand,brand_final,brand_source,brand_confidence
317,0,$TONY THE TIGER T-SH,TONY THE TIGER T-SH,ASST,,assorted,Unknown,Unknown,Unknown,unknown,low
1313000002,13130,NAB SHREDDED WHEAT,NAB SHREDDED WHEAT,10 OZ,10.0,oz,Unknown,Nabisco,Nabisco,manufacturer_block,medium
1313000005,13130,NABISCO SHREDDED WHE,NABISCO SHREDDED WHE,15 OZ,15.0,oz,Nabisco,Nabisco,Nabisco,descrip_rule,high
1313000032,13130,NABISCO 100% BRAN,NABISCO 100% BRAN,17 OZ,17.0,oz,Nabisco,Nabisco,Nabisco,descrip_rule,high
1313000050,13130,NAB SPOON SIZE SHRED,NAB SPOON SIZE SHRED,23.45O,23.45,oz,Unknown,Nabisco,Nabisco,manufacturer_block,medium
1313000054,13130,NAB SPOON SIZE SHRED,NAB SPOON SIZE SHRED,17.2 O,17.2,oz,Unknown,Nabisco,Nabisco,manufacturer_block,medium
1313000148,13130,NABISCO TEAM FLAKES,NABISCO TEAM FLAKES,13 OZ,13.0,oz,Nabisco,Nabisco,Nabisco,descrip_rule,high
1313000698,13130,NABISCO CREAM OF RIC,NABISCO CREAM OF RIC,14 OZ,14.0,oz,Nabisco,Nabisco,Nabisco,descrip_rule,high
1313001041,13130,NABISCO OAT BRAN RAI,NABISCO OAT BRAN RAI,15.5 O,15.5,oz,Nabisco,Nabisco,Nabisco,descrip_rule,high
1313001059,13130,NABISCO WHEAT N BRAN,NABISCO WHEAT N BRAN,18 OZ,18.0,oz,Nabisco,Nabisco,Nabisco,descrip_rule,high
1313001145,13130,NABISCO FRUIT WHEATS,NABISCO FRUIT WHEATS,15.5 O,15.5,oz,Nabisco,Nabisco,Nabisco,descrip_rule,high
1313001146,13130,NAB RASPBERRY FRUIT,NAB RASPBERRY FRUIT,15.5 O,15.5,oz,Unknown,Nabisco,Nabisco,manufacturer_block,medium
1313001854,13130,NAB SHRED WHT W/OAT,NAB SHRED WHT W/OAT,18 OZ,18.0,oz,Unknown,Nabisco,Nabisco,manufacturer_block,medium
