brand_final,size_oz_rounded,STORE,beta_own,beta_cross,promo_theta,opt_price,opt_promo,opt_profit,baseline_profit,profit_lift_abs
General Mills,12.0,102,-1.9,0.0,0.3,3.9119,1,217.756,94.7499,123.0061
General Mills,14.0,126,-1.9,0.0,0.3,4.3154,1,193.6469,85.05,108.5969
General Mills,15.0,126,-1.9,0.0,0.3,4.1096,1,165.0112,72.3111,92.7001
General Mills,18.0,126,-1.9,0.0,0.3,5.1995,1,174.611,69.8643,104.7467
General Mills,20.0,126,-1.9,0.0,0.3,5.1635,1,254.918,104.6533,150.2647
Kellogg's,12.0,18,-1.9,0.0,0.3,3.7705,1,154.5976,57.5814,97.0161
Kellogg's,15.0,102,-1.9,0.0,0.3,4.3011,1,430.5017,186.6738,243.8279
Kellogg's,18.0,74,-1.9,0.0,0.3,5.2325,1,171.3945,67.9503,103.4442
Kellogg's,20.0,80,-1.9,0.0,0.3,5.1047,1,191.6307,75.3378,116.2929
Post,16.0,126,-1.9,0.0,0.3,4.054,1,154.6959,67.054,87.6418
General Mills,12.0,102,-1.9,0.0,0.43,3.9119,1,244.0119,94.7499,149.262
General Mills,14.0,126,-1.9,0.0,0.43,4.3154,1,218.2935,85.05,133.2435
General Mills,15.0,126,-1.9,0.0,0.43,4.1096,1,185.3904,72.3111,113.0793
General Mills,18.0,126,-1.9,0.0,0.43,5.1995,1,197.2519,69.8643,127.3875
General Mills,20.0,126,-1.9,0.0,0.43,5.1635,1,287.9719,104.6533,183.3186
Kellogg's,12.0,18,-1.9,0.0,0.43,3.7705,1,174.0783,57.5814,116.4969
Kellogg's,15.0,102,-1.9,0.0,0.43,4.3011,1,469.6473,186.6738,282.9735
Kellogg's,18.0,74,-1.9,0.0,0.43,5.2325,1,192.3282,67.9503,124.3779
Kellogg's,20.0,80,-1.9,0.0,0.43,5.1047,1,212.9841,75.3378,137.6463
Post,16.0,126,-1.9,0.0,0.43,4.054,1,172.1875,67.054,105.1334
General Mills,12.0,102,-1.9,0.0,0.51,3.9119,1,261.7195,94.7499,166.9696
General Mills,14.0,126,-1.9,0.0,0.51,4.3154,1,234.9954,85.05,149.9454
General Mills,15.0,126,-1.9,0.0,0.51,4.1096,1,199.1635,72.3111,126.8524
General Mills,18.0,126,-1.9,0.0,0.51,5.1995,1,212.6207,69.8643,142.7563
General Mills,20.0,126,-1.9,0.0,0.51,5.1635,1,310.4091,104.6533,205.7558
Kellogg's,12.0,18,-1.9,0.0,0.51,3.7705,1,187.2676,57.5814,129.6862
Kellogg's,15.0,102,-1.9,0.0,0.51,4.3011,1,495.4862,186.6738,308.8124
Kellogg's,18.0,74,-1.9,0.0,0.51,5.2325,1,206.4622,67.9503,138.5119
Kellogg's,20.0,80,-1.9,0.0,0.51,5.1047,1,227.291,75.3378,151.9532
Post,16.0,126,-1.9,0.0,0.51,4.054,1,183.9209,67.054,116.8668
General Mills,12.0,102,-1.9,0.5,0.3,3.9119,1,228.9206,94.7499,134.1707
General Mills,14.0,126,-1.9,0.5,0.3,4.3154,1,203.5754,85.05,118.5254
General Mills,15.0,126,-1.9,0.5,0.3,4.1096,1,173.4715,72.3111,101.1604
General Mills,18.0,126,-1.9,0.5,0.3,5.1995,1,183.5635,69.8643,113.6992
