brand_final,size_oz_rounded,STORE,n_weeks,mean_p,mean_promo,mean_cost,baseline_q,baseline_profit,opt_price,opt_promo,opt_q,opt_profit,profit_lift_abs,profit_lift_pct,q_lift_ratio,opt_hits_upper
Kellogg's,15.0,102,357,3.025,0.331,2.55,392.336,186.674,4.301,1,284.31,497.983,311.309,166.766,0.725,True
Kellogg's,15.0,73,363,3.02,0.336,2.565,371.485,168.947,4.29,1,268.993,463.852,294.905,174.554,0.724,True
Kellogg's,15.0,122,362,3.037,0.29,2.576,355.55,163.68,4.275,1,266.676,452.905,289.225,176.701,0.75,True
Kellogg's,15.0,8,361,3.058,0.319,2.541,354.551,183.352,4.377,1,255.304,468.646,285.294,155.599,0.72,True
Kellogg's,15.0,114,361,3.071,0.346,2.587,325.645,157.506,4.349,1,235.959,415.737,258.231,163.95,0.725,True
Kellogg's,15.0,132,363,3.04,0.353,2.571,311.791,146.21,4.263,1,229.148,387.787,241.577,165.227,0.735,True
Kellogg's,15.0,126,358,3.05,0.26,2.551,280.573,139.973,4.271,1,215.049,369.977,230.004,164.32,0.766,True
Kellogg's,15.0,86,362,3.083,0.345,2.554,278.87,147.625,4.464,1,194.631,371.685,224.06,151.776,0.698,True
Kellogg's,15.0,98,359,3.029,0.315,2.564,271.811,126.453,4.303,1,198.523,345.364,218.911,173.117,0.73,True
Kellogg's,15.0,112,362,3.049,0.329,2.582,276.351,129.08,4.278,1,204.983,347.774,218.694,169.425,0.742,True
